alias,code,title,units,image_file,description
P_C_01_a,PAV-PRD1-MAT1-2-PAT1-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_01.jpg,"Одноцветное мощение, светло-серая плитка, с гладкой и рифленой поверхностью элементов, швы минимальной толщины с засыпкой цпс, габариты элементов 300х300 и 300х100, модуль раскладки набран из двух типов элементов."
P_C_01_b,PAV-PRD1-MAT1-2-PAT1-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_01.jpg,"Одноцветное мощение, светло-серая плитка, с гладкой и рифленой поверхностью элементов, швы минимальной толщины с засыпкой цпс, габариты элементов 300х300 и 300х100, модуль раскладки набран из двух типов элементов."
P_C_02_a,PAV-PRD1-MAT1-5-PAT1-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_02.jpg,"Одноцветное мощение, светло-серая плитка, с гладкой поверхностью
элементов, швы минимальной толщины, габариты элементов
300х300, модуль раскладки набран из одного типа элемента с
включением засыпки галькой."
P_C_02_b,PAV-PRD1-MAT1-5-PAT1-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_02.jpg,"Одноцветное мощение, светло-серая плитка, с гладкой поверхностью
элементов, швы минимальной толщины, габариты элементов
300х300, модуль раскладки набран из одного типа элемента с
включением засыпки галькой."
P_C_03_a,PAV-PRD1-MAT1-4-PAT1-COL1-BST1,Плитка фибробетонная модульная,m2,P_C_03.jpg,"Одноцветное мощение, черная плитка с гладкой и рифленой
поверхностями элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 300х300 и 300х100, модуль
раскладки набран из двух типов элементов."
P_C_03_b,PAV-PRD1-MAT1-4-PAT1-COL1-BST2,Плитка фибробетонная модульная,m2,P_C_03.jpg,"Одноцветное мощение, черная плитка с гладкой и рифленой
поверхностями элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 300х300 и 300х100, модуль
раскладки набран из двух типов элементов."
P_C_04_a,PAV-PRD1-MAT1-5-PAT1-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_04.jpg,"Одноцветное мощение, черная плитка с гладкой поверхностью
элементов, швы минимальной толщины, габариты элементов
300х300, модуль раскладки набран из одного типа элемента с
включением засыпки черным сланцем."
P_C_04_b,PAV-PRD1-MAT1-5-PAT1-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_04.jpg,"Одноцветное мощение, черная плитка с гладкой поверхностью
элементов, швы минимальной толщины, габариты элементов
300х300, модуль раскладки набран из одного типа элемента с
включением засыпки черным сланцем."
P_C_05_a,PAV-PRD1-MAT1-PAT2-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_05.jpg,"Одноцветное мощение, светло-серая плитка с гладкой поверхностью
элементов, швы минимальной толщины с засыпкой цпс,
габариты элементов 600х100 и 600х200, модуль раскладки
набран из двух элементов."
P_C_05_b,PAV-PRD1-MAT1-PAT2-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_05.jpg,"Одноцветное мощение, светло-серая плитка с гладкой поверхностью
элементов, швы минимальной толщины с засыпкой цпс,
габариты элементов 600х100 и 600х200, модуль раскладки
набран из двух элементов."
P_C_06_a,PAV-PRD1-MAT1-PAT2-COL1-2-BST1,Плитка фибробетонная модульная,m2,P_C_06.jpg,"Двухцветное мощение, черная, светло-серая плитка с гладкой и
рифленой поверхностью элементов, швы минимальной толщины
с засыпкой цпс, габариты элементов 600х100 и 600х200, модуль
раскладки набран из трех элементов."
P_C_06_b,PAV-PRD1-MAT1-PAT2-COL1-2-BST2,Плитка фибробетонная модульная,m2,P_C_06.jpg,"Двухцветное мощение, черная, светло-серая плитка с гладкой и
рифленой поверхностью элементов, швы минимальной толщины
с засыпкой цпс, габариты элементов 600х100 и 600х200, модуль
раскладки набран из трех элементов."
P_C_09_a,PAV-PRD1-MAT1-PAT2-COL1-BST1,Плитка фибробетонная модульная,m2,P_C_09.jpg,"Одноцветное модульное мощение, темная плитка с гладкой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х100 и 600х200, модуль
раскладки набран из двух элементов."
P_C_09_b,PAV-PRD1-MAT1-PAT2-COL1-BST2,Плитка фибробетонная модульная,m2,P_C_09.jpg,"Одноцветное модульное мощение, темная плитка с гладкой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х100 и 600х200, модуль
раскладки набран из двух элементов."
P_C_10_a,PAV-PRD1-MAT1-2-5-PAT3-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_10.jpg,"Одноцветное мощение, светло-серая плитка с гладкой и рифленой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х100 модуль раскладки
набран из двух типов элементов."
P_C_10_b,PAV-PRD1-MAT1-2-5-PAT3-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_10.jpg,"Одноцветное мощение, светло-серая плитка с гладкой и рифленой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х100 модуль раскладки
набран из двух типов элементов."
P_C_11_a,PAV-PRD1-MAT1-2-5-PAT3-COL1-BST1,Плитка фибробетонная модульная,m2,P_C_11.jpg,"Одноцветное мощение, черная плитка с гладкой и рифленой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х100, модуль раскладки
набран из двух типов элементов."
P_C_11_b,PAV-PRD1-MAT1-2-5-PAT3-COL1-BST2,Плитка фибробетонная модульная,m2,P_C_11.jpg,"Одноцветное мощение, черная плитка с гладкой и рифленой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х100, модуль раскладки
набран из двух типов элементов."
P_C_12_a,PAV-PRD1-MAT1-2-PAT4-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_12.jpg,"Одноцветное мощение, светло-серая плитка, с гладкой и рифленой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х200, модуль раскладки
набран из двух типов элементов."
P_C_12_b,PAV-PRD1-MAT1-2-PAT4-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_12.jpg,"Одноцветное мощение, светло-серая плитка, с гладкой и рифленой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х200, модуль раскладки
набран из двух типов элементов."
P_C_13_a,PAV-PRD1-MAT1-2-PAT4-COL1-BST1,Плитка фибробетонная модульная,m2,P_C_13.jpg,"Одноцветное мощение, черная плитка с гладкой и рифленой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х200 модуль раскладки
набран из двух типов элементов."
P_C_13_b,PAV-PRD1-MAT1-2-PAT4-COL1-BST2,Плитка фибробетонная модульная,m2,P_C_13.jpg,"Одноцветное мощение, черная плитка с гладкой и рифленой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х200 модуль раскладки
набран из двух типов элементов."
P_C_14_a,PAV-PRD1-MAT1-2-PAT5-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_14.jpg,"Одноцветное модульное светлое мощение, светло-серая плитка с
гладкой и рифленой поверхностью элементов, швы минимальной
толщины с засыпкой цпс, габариты элементов 600х200 и 600х300,
модуль раскладки набран из трех типов элементов."
P_C_14_b,PAV-PRD1-MAT1-2-PAT5-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_14.jpg,"Одноцветное модульное светлое мощение, светло-серая плитка с
гладкой и рифленой поверхностью элементов, швы минимальной
толщины с засыпкой цпс, габариты элементов 600х200 и 600х300,
модуль раскладки набран из трех типов элементов."
P_C_15_a,PAV-PRD1-MAT1-2-PAT5-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_15.jpg,"Одноцветное модульное темное мощение, черная плитка с
гладкой и рифленой поверхностью элементов, швы минимальной
толщины с засыпкой цпс, габариты элементов 600х200 и 600х300,
модуль раскладки набран из трех типов элементов."
